A,5.58 0.03,3242213583,193,0.000027
AU,0.44 0.03,5424205129,1280,0.000240
BC,36.11 -60.97,463120046,1288,0.000252
F,0.08 0.03,38576098226,1140,0.000012
GE,0.08 0.03,61598544738,4333,0.000081
M,1.03 -0.08,26758921474,5383,0.000521
QTM,2.17 0.04,152088103,5458,0.003069
R,18.57 0.04,238389556,4316,0.000707
S,0.13 0.04,9094917894,9769,0.000270
T,0.20 0.03,32484957938,5790,0.000210
UPS,4.84 0.03,2265074301,5653,0.000530
